X1	X001A_Normal.Tumor1	X001A_Normal.Tumor2	X001B_Normal.Tumor1	X001B_Normal.Tumor2	X001C_Normal.Tumor1	X001C_Normal.Tumor2	X001E_Normal.Tumor1	X001E_Normal.Tumor2	X001F_Normal.Tumor1	X001F_Normal.Tumor2	X001G_Normal.Tumor1	X001G_Normal.Tumor2	X001H_Normal.Tumor1	X001H_Normal.Tumor2	X001I_Normal.Tumor1	X001I_Normal.Tumor2	X001J_Normal.Tumor1	X001J_Normal.Tumor2	X001K_Normal.Tumor1	X001K_Normal.Tumor2	X001L_Normal.Tumor1	X001L_Normal.Tumor2	X001M_Normal.Tumor1	X001M_Normal.Tumor2	X001O_Normal.Tumor1	X001O_Normal.Tumor2	Sum1	Sum2	Gene	BLCA.Freq	BRCA.Freq	COADREAD.Freq	GBM.Freq	HNSC.Freq	KIRC.Freq	LAML.Freq	LUAD.Freq	LUSC.Freq	OV.Freq	UCEC.Freq	Pancan12.Freq	pancan12.p.val	pancan12.FDR
557	ARID1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	ARID1A	0.276	0.02	0.057	0.007	0.03	0.029	0.005	0.061	0.063	0.01	0.3	0.054	0	0
558	ARID5B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	ARID5B	0.031	0.004	0	0.003	0.033	0.007	0	0.022	0.017	0.006	0.096	0.016	3.997e-11	1.781e-09
657	CHEK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	2	CHEK2	0.02	0.004	0	0.017	0.023	0.007	0	0.009	0.012	0.003	0.013	0.009	8.234e-10	3.031e-08
697	CTNNB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	2	CTNNB1	0.02	0.001	0.047	0.003	0.007	0.002	0	0.035	0.017	0.006	0.283	0.029	0	0
778	FGFR2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	FGFR2	0.02	0.009	0	0.003	0.007	0.002	0	0.031	0.023	0	0.104	0.015	3.849e-09	1.296e-07
891	KEAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	2	KEAP1	0.031	0.001	0	0	0.04	0.005	0	0.171	0.121	0.003	0.013	0.026	0	0
985	MECOM	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	MECOM	0.051	0.005	0.01	0.014	0.017	0.01	0	0.035	0.046	0.006	0.03	0.015	0.0001299	0.0016523
1037	NAV3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	NAV3	0.051	0.014	0.021	0.01	0.073	0.014	0	0.215	0.19	0.013	0.052	0.046	0	0
1045	NCOR1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	NCOR1	0.082	0.039	0.005	0.007	0.033	0.007	0	0.026	0.035	0.003	0.013	0.022	0.0003569	0.0038413
1073	NSD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	2	NSD1	0.061	0.003	0.005	0.003	0.106	0.01	0	0.031	0.052	0.006	0.057	0.024	2.68e-05	0.0004156
1138	PPP2R1A	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	PPP2R1A	0.01	0.001	0.016	0	0.013	0.012	0	0.013	0.046	0.013	0.087	0.015	2.297e-07	5.799e-06
1359	TP53	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	TP53	0.5	0.329	0.586	0.283	0.698	0.022	0.075	0.518	0.793	0.946	0.278	0.42	0	0
1376	TSHZ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	TSHZ2	0.041	0.009	0.031	0.024	0.013	0.007	0	0.066	0.035	0.01	0.017	0.018	4.313e-14	2.766e-12
1504	ACVR1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	ACVR1B	0	0.007	0.036	0	0.013	0.01	0	0.022	0.012	0.003	0.017	0.01	1.589e-05	0.0002647
1505	ACVR2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	ACVR2A	0.01	0.005	0.026	0	0.007	0.002	0	0.009	0.012	0	0.004	0.006	8.71e-05	0.0011713
1655	ATR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	ATR	0.041	0.008	0.021	0.014	0.053	0.012	0	0.057	0.04	0.006	0.07	0.024	2.715e-07	6.755e-06
1656	ATRX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	ATRX	0.082	0.012	0.01	0.055	0.043	0.019	0	0.061	0.058	0.006	0.03	0.028	4.729e-11	2.092e-09
1696	BRAF	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	BRAF	0.02	0.004	0.036	0.021	0.01	0.002	0	0.066	0.046	0.006	0.009	0.015	1.58e-15	1.176e-13
1697	BRCA1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	BRCA1	0.041	0.016	0	0.01	0.027	0.01	0	0.035	0.052	0.035	0.009	0.019	3.965e-10	1.567e-08
1763	CBFB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	CBFB	0.01	0.021	0	0	0	0.002	0.01	0.004	0.006	0	0.004	0.007	2.677e-07	6.675e-06
2103	EP300	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	EP300	0.174	0.008	0.021	0.003	0.08	0.014	0	0.009	0.046	0.003	0.052	0.025	2.916e-09	9.943e-08
2109	EPPK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	EPPK1	0.02	0.003	0	0.028	0.027	0.007	0	0.031	0.04	0.003	0.03	0.014	3.145e-14	2.033e-12
2131	EZH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	EZH2	0.01	0.001	0	0.01	0.003	0.007	0.015	0.022	0.023	0	0.017	0.008	0.0089297	0.0513727
2183	FBXW7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	FBXW7	0.092	0.008	0.114	0.003	0.05	0.002	0	0.013	0.052	0.01	0.117	0.03	0	0
2197	FLT3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	FLT3	0.02	0.004	0	0.017	0.007	0.005	0.265	0.04	0.04	0.01	0.009	0.027	0	0
2467	KDM5C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	KDM5C	0.01	0.005	0.005	0.007	0.01	0.065	0	0.048	0.029	0.019	0.022	0.02	8.105e-13	4.442e-11
2888	NOTCH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	NOTCH1	0.051	0.004	0	0	0.193	0.01	0.005	0.031	0.081	0.006	0.017	0.031	0	0
3003	PDGFRA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	PDGFRA	0.061	0.004	0.01	0.038	0.01	0.014	0.005	0.066	0.04	0.01	0.013	0.019	2.134e-09	7.392e-08
3035	PIK3R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	PIK3R1	0.01	0.025	0.021	0.114	0.017	0.005	0	0.013	0.006	0.003	0.309	0.044	0	0
3342	SETBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	SETBP1	0.02	0.004	0.016	0.014	0.03	0.014	0.01	0.127	0.052	0	0.022	0.022	0	0
3407	SMAD4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	SMAD4	0.02	0.004	0.098	0.003	0.02	0.005	0	0.031	0.029	0	0	0.014	7.476e-09	2.407e-07
3462	SPOP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	SPOP	0.01	0.001	0	0	0.01	0	0	0.004	0.006	0.003	0.065	0.007	0.0014916	0.0122957
3517	TAF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	TAF1	0.02	0.011	0.016	0.014	0.023	0.012	0	0.04	0.069	0.016	0.087	0.023	1.534e-07	3.991e-06
