Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
NAV3	0	0	0	0	0	1	0	0	1	1	1
NBPF12	0	0	0	0	1	0	0	0	1	1	1
NBPF14	0	0	0	0	1	0	0	0	1	1	1
NBPF3	0	0	0	0	1	0	0	0	1	1	1
NCKAP5L	0	0	0	0	1	0	0	0	1	1	1
NECTIN2	0	0	0	0	1	0	0	0	1	1	1
NELFCD	0	0	0	0	1	0	0	0	1	1	1
NFKB2	0	0	0	0	0	1	0	0	1	1	1
NGFR	0	0	0	0	1	0	0	0	1	1	1
NKX2-1	0	0	0	0	1	0	0	0	1	1	1
NKX2-2	1	0	0	0	0	0	0	0	1	1	1
NLRP4	0	0	0	0	1	0	0	0	1	1	1
NLRP6	0	0	1	0	0	0	0	0	1	1	1
NMD3	0	0	0	0	1	0	0	0	1	1	1
NME3	0	0	0	0	1	0	0	0	1	1	1
NOL3	0	0	0	0	0	1	0	0	1	1	1
NOTCH2NL	0	0	0	0	1	0	0	0	1	1	1
NPAP1	0	0	0	0	1	0	0	0	1	1	1
NPAS3	0	0	0	0	1	0	0	0	1	1	1
NPC1L1	0	0	0	0	1	0	0	0	1	1	1
NPEPPS	0	0	0	0	1	0	0	0	1	1	1
NPIPB6	0	0	0	0	1	0	0	0	1	1	1
NR1H3	0	0	0	0	1	0	0	0	1	1	1
NR2F1	0	0	0	0	1	0	0	0	1	1	1
NR3C1	0	0	0	0	1	0	0	0	1	1	1
NR4A2	0	0	0	0	0	1	0	0	1	1	1
NRG3	0	0	0	0	1	0	0	0	1	1	1
NRP2	0	0	0	0	1	0	0	0	1	1	1
NUTM2B	0	0	0	0	1	0	0	0	1	1	1
NXF5	0	0	0	0	1	0	0	0	1	1	1
OASL	1	0	0	0	0	0	0	0	1	1	1
OBP2B	0	0	0	0	1	0	0	0	1	1	1
OBSCN	0	0	0	0	1	0	0	0	1	1	1
OBSL1	0	0	0	0	1	0	0	0	1	1	1
ODF3	0	0	0	0	1	0	0	0	1	1	1
OR10H5	0	0	0	0	1	0	0	0	1	1	1
OR11H12	0	0	0	0	1	0	0	0	1	1	1
OR2L8	0	0	0	0	1	0	0	0	1	1	1
OR2M5	0	0	0	0	1	0	0	0	1	1	1
OR51Q1	1	0	0	0	0	0	0	0	1	1	1
OR52E8	0	0	0	0	1	0	0	0	1	1	1
OR7C1	0	1	0	0	0	0	0	0	1	1	1
OR7E24	1	0	0	0	0	0	0	0	1	1	1
OR8G2P	0	0	0	0	1	0	0	0	1	1	1
OVCH1	0	0	0	0	1	0	0	0	1	1	1
P3H2	0	0	0	0	1	0	0	0	1	1	1
PABPC1	0	1	0	0	0	0	0	0	1	1	1
PARD3B	1	0	0	0	0	0	0	0	1	1	1
PAX3	0	0	0	0	1	0	0	0	1	1	1
PAX7	0	0	0	0	1	0	0	0	1	1	1
PCDHA5	0	0	0	0	1	0	0	0	1	1	1
PCDHA6	0	0	0	0	1	0	0	0	1	1	1
PCDHGA6	0	0	0	0	1	0	0	0	1	1	1
PDE11A	0	0	0	0	1	0	0	0	1	1	1
PDE8B	0	0	0	0	1	0	0	0	1	1	1
PF4	0	0	0	0	1	0	0	0	1	1	1
PFKM	0	0	0	0	1	0	0	0	1	1	1
PGRMC2	0	0	0	0	1	0	0	0	1	1	1
PHF21A	0	0	0	0	1	0	0	0	1	1	1
PHKB	0	0	0	0	1	0	0	0	1	1	1
PILRA	0	0	0	0	1	0	0	0	1	1	1
PITRM1	0	0	0	0	0	1	0	0	1	1	1
PKHD1L1	0	0	0	0	1	0	0	0	1	1	1
PLCE1	0	0	0	0	1	0	0	0	1	1	1
PLEKHG5	0	0	1	0	0	0	0	0	1	1	1
PLIN4	0	0	0	0	1	0	0	0	1	1	1
PLRG1	0	0	0	0	1	0	0	0	1	1	1
PMS2	0	0	0	0	0	1	0	0	1	1	1
PNPLA5	0	0	0	0	0	1	0	0	1	1	1
POLD1	0	0	0	0	1	0	0	0	1	1	1
POLG	0	0	0	0	1	0	0	0	1	1	1
POM121	0	0	0	1	0	0	0	0	1	1	1
POTEB	1	0	0	0	0	0	0	0	1	1	1
POTEE	0	0	0	0	1	0	0	0	1	1	1
POTEF	0	0	0	0	1	0	0	0	1	1	1
POU5F1B	0	0	0	0	0	1	0	0	1	1	1
PPEF2	0	0	0	0	1	0	0	0	1	1	1
PPP4R4	1	0	0	0	0	0	0	0	1	1	1
PRAMEF1	1	0	0	0	0	0	0	0	1	1	1
PRAMEF4	0	0	0	0	1	0	0	0	1	1	1
PRB2	0	0	0	0	1	0	0	0	1	1	1
PRB4	0	0	0	0	1	0	0	0	1	1	1
PRDM15	0	0	0	0	1	0	0	0	1	1	1
PRH2	0	0	0	0	1	0	0	0	1	1	1
PRLHR	0	0	0	0	1	0	0	0	1	1	1
PRMT1	1	0	0	0	0	0	0	0	1	1	1
PROM2	0	0	0	0	1	0	0	0	1	1	1
PRR34	1	0	0	0	0	0	0	0	1	1	1
PRUNE2	0	0	0	0	0	1	0	0	1	1	1
PSMC2	0	0	0	0	1	0	0	0	1	1	1
PSMD1	0	0	0	0	1	0	0	0	1	1	1
PTCHD4	0	0	0	0	0	1	0	0	1	1	1
PTK2	0	0	0	0	1	0	0	0	1	1	1
