	Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
115	ARID1A	0	0	0	0	1	0	0	0	1	1	1
116	ARID1B	0	0	0	0	1	0	0	0	1	1	1
117	ARSI	0	0	0	0	1	0	0	0	1	1	1
118	ASH2L	0	0	0	0	1	0	0	0	1	1	1
119	ATF7IP	0	0	0	0	1	0	0	0	1	1	1
120	ATP13A4	0	0	0	0	1	0	0	0	1	1	1
121	ATP23	0	0	0	0	1	0	0	0	1	1	1
122	BBX	0	0	0	0	1	0	0	0	1	1	1
123	BCAS3	0	1	0	0	0	0	0	0	1	1	1
124	BCL2L13	0	0	1	0	0	0	0	0	1	1	1
125	BCL2L2	0	0	0	0	1	0	0	0	1	1	1
126	BCLAF1	0	0	0	0	1	0	0	0	1	1	1
127	BCOR	0	0	0	0	1	0	0	0	1	1	1
128	BEND5	0	0	0	0	1	0	0	0	1	1	1
129	BEST3	0	0	0	0	1	0	0	0	1	1	1
130	BLK	0	0	0	0	1	0	0	0	1	1	1
131	BRPF3	1	0	0	0	0	0	0	0	1	1	1
132	BRSK2	0	0	0	0	1	0	0	0	1	1	1
133	BRWD1	0	0	0	0	1	0	0	0	1	1	1
134	BTBD11	0	0	0	0	1	0	0	0	1	1	1
135	C11orf80	0	0	0	1	0	0	0	0	1	1	1
136	C1QTNF5	0	0	0	0	0	1	0	0	1	1	1
137	C1orf112	0	0	0	0	1	0	0	0	1	1	1
138	C2CD6	0	0	0	0	1	0	0	0	1	1	1
139	C7orf33	0	0	0	0	1	0	0	0	1	1	1
140	CACNA1A	0	0	1	0	0	0	0	0	1	1	1
141	CACNA1G	1	0	0	0	0	0	0	0	1	1	1
142	CACNB2	0	0	0	0	1	0	0	0	1	1	1
143	CALY	0	0	0	0	1	0	0	0	1	1	1
144	CAPN14	0	0	0	0	1	0	0	0	1	1	1
145	CAPS2	0	0	0	0	1	0	0	0	1	1	1
146	CASS4	0	0	0	0	1	0	0	0	1	1	1
147	CBL	0	0	1	0	0	0	0	0	1	1	1
148	CBWD3	0	0	0	0	0	0	0	1	1	1	1
149	CCDC114	0	0	0	0	1	0	0	0	1	1	1
150	CCDC66	0	0	0	0	0	1	0	0	1	1	1
151	CCM2	0	0	0	0	1	0	0	0	1	1	1
152	CCT8L2	0	0	0	0	1	0	0	0	1	1	1
153	CCZ1	0	0	0	0	1	0	0	0	1	1	1
154	CD163	0	0	0	0	0	1	0	0	1	1	1
155	CD276	0	0	0	0	1	0	0	0	1	1	1
156	CD33	1	0	0	0	0	0	0	0	1	1	1
157	CD93	1	0	0	0	0	0	0	0	1	1	1
158	CDC42EP1	0	0	0	0	1	0	0	0	1	1	1
159	CDH10	0	0	0	0	0	1	0	0	1	1	1
160	CDK11A	0	0	0	1	0	0	0	0	1	1	1
161	CDKN2A	0	0	0	0	0	1	0	0	1	1	1
162	CDS2	0	0	0	0	0	0	0	1	1	1	1
163	CELSR3	0	0	0	0	1	0	0	0	1	1	1
164	CEP170B	0	0	0	0	1	0	0	0	1	1	1
165	CEP290	0	1	0	0	0	0	0	0	1	1	1
166	CES2	0	0	0	0	1	0	0	0	1	1	1
167	CFAP36	0	1	0	0	0	0	0	0	1	1	1
168	CFAP47	0	0	0	0	1	0	0	0	1	1	1
169	CFAP99	0	0	0	0	1	0	0	0	1	1	1
170	CGB7	0	0	0	0	1	0	0	0	1	1	1
171	CGNL1	0	0	0	0	1	0	0	0	1	1	1
172	CHEK1	0	1	0	0	0	0	0	0	1	1	1
173	CMTR1	0	0	0	0	1	0	0	0	1	1	1
174	CNOT2	0	0	0	0	0	0	0	1	1	1	1
175	CNTN5	0	0	0	0	1	0	0	0	1	1	1
176	COL13A1	0	0	0	0	0	0	0	1	1	1	1
177	COL1A2	0	0	0	0	1	0	0	0	1	1	1
178	COL20A1	0	0	0	0	1	0	0	0	1	1	1
179	COL6A3	1	0	0	0	0	0	0	0	1	1	1
180	COL9A3	0	0	0	0	1	0	0	0	1	1	1
181	COX5A	1	0	0	0	0	0	0	0	1	1	1
182	CPNE7	0	0	0	0	1	0	0	0	1	1	1
183	CRAMP1	0	0	0	0	1	0	0	0	1	1	1
184	CRK	0	0	0	0	1	0	0	0	1	1	1
185	CRNKL1	0	0	0	0	1	0	0	0	1	1	1
186	CSF2RB	0	0	0	0	1	0	0	0	1	1	1
187	CSH2	0	0	0	0	1	0	0	0	1	1	1
188	CSPG4	0	0	0	0	1	0	0	0	1	1	1
189	CTAGE6	0	0	0	0	1	0	0	0	1	1	1
190	CTDP1	0	0	0	0	1	0	0	0	1	1	1
191	CTNNB1	0	0	0	0	1	0	0	0	1	1	1
192	CTRB2	0	0	0	0	1	0	0	0	1	1	1
193	CWF19L2	0	0	0	0	1	0	0	0	1	1	1
194	CX3CR1	0	1	0	0	0	0	0	0	1	1	1
195	CYP4F12	0	0	0	0	1	0	0	0	1	1	1
196	CYTH4	0	0	0	0	0	0	0	1	1	1	1
197	DAGLA	0	0	0	0	1	0	0	0	1	1	1
198	DAGLB	0	0	0	0	1	0	0	0	1	1	1
199	DBNL	0	0	0	0	1	0	0	0	1	1	1
200	DDX1	1	0	0	0	0	0	0	0	1	1	1
201	DDX5	0	0	1	0	0	0	0	0	1	1	1
202	DDX54	0	0	1	0	0	0	0	0	1	1	1
203	DDX60L	1	0	0	0	0	0	0	0	1	1	1
204	DENND1C	1	0	0	0	0	0	0	0	1	1	1
205	DENND5B	0	0	0	0	1	0	0	0	1	1	1
206	DGKG	0	0	0	0	1	0	0	0	1	1	1
207	DLEC1	0	0	0	0	1	0	0	0	1	1	1
208	DMRTC2	0	0	0	0	1	0	0	0	1	1	1
209	DNA2	1	0	0	0	0	0	0	0	1	1	1
210	DNAH17	0	0	0	0	1	0	0	0	1	1	1
211	DNAH7	0	0	0	0	1	0	0	0	1	1	1
212	DNAJC1	0	0	1	0	0	0	0	0	1	1	1
213	DNMT3A	0	0	0	0	1	0	0	0	1	1	1
214	DOK3	0	0	0	0	1	0	0	0	1	1	1
215	DPP3	0	0	0	0	1	0	0	0	1	1	1
216	DPP6	0	0	0	0	0	0	0	1	1	1	1
217	DPYD	0	0	0	0	1	0	0	0	1	1	1
218	DSCAM	0	0	1	0	0	0	0	0	1	1	1
219	DTD2	0	0	0	0	1	0	0	0	1	1	1
220	EBPL	0	0	0	0	0	1	0	0	1	1	1
221	EFS	0	0	0	0	1	0	0	0	1	1	1
222	EP400	0	0	0	0	1	0	0	0	1	1	1
223	ERF	0	0	0	0	1	0	0	0	1	1	1
224	ERGIC2	0	0	0	0	1	0	0	0	1	1	1
225	ERICH3	0	0	0	0	1	0	0	0	1	1	1
226	ERN2	0	0	0	0	1	0	0	0	1	1	1
227	ERP44	1	0	0	0	0	0	0	0	1	1	1
228	ETV3	1	0	0	0	0	0	0	0	1	1	1
229	EVPL	0	0	0	0	1	0	0	0	1	1	1
230	FAM103A1	1	0	0	0	0	0	0	0	1	1	1
231	FAM105A	0	0	0	0	1	0	0	0	1	1	1
232	FAM118A	0	0	0	0	1	0	0	0	1	1	1
233	FAM129B	0	0	0	0	1	0	0	0	1	1	1
234	FAM135B	0	0	0	0	1	0	0	0	1	1	1
235	FAM155A	0	0	1	0	0	0	0	0	1	1	1
236	FAM170B	0	0	0	0	0	1	0	0	1	1	1
237	FAM19A2	0	0	0	0	1	0	0	0	1	1	1
238	FAM3D	0	0	0	0	1	0	0	0	1	1	1
239	FAM47C	0	0	0	0	1	0	0	0	1	1	1
240	FAM57B	1	0	0	0	0	0	0	0	1	1	1
241	FANCA	0	0	0	0	1	0	0	0	1	1	1
242	FANK1	0	0	0	0	1	0	0	0	1	1	1
243	FAT1	0	0	0	0	1	0	0	0	1	1	1
244	FBLN2	0	0	0	0	0	1	0	0	1	1	1
245	FBXL4	0	0	0	0	1	0	0	0	1	1	1
246	FBXW7	0	0	0	0	1	0	0	0	1	1	1
247	FETUB	0	0	0	0	1	0	0	0	1	1	1
248	FGF17	0	0	0	0	1	0	0	0	1	1	1
249	FGFR1OP2	0	0	0	0	1	0	0	0	1	1	1
250	FHOD3	0	0	0	0	1	0	0	0	1	1	1
251	FKBP10	0	0	0	0	1	0	0	0	1	1	1
252	FKBP8	0	0	0	0	1	0	0	0	1	1	1
253	FLT3LG	0	0	0	0	0	0	0	1	1	1	1
254	FLT4	1	0	0	0	0	0	0	0	1	1	1
255	FNDC1	0	0	0	0	1	0	0	0	1	1	1
256	FOXB2	0	0	0	0	1	0	0	0	1	1	1
257	FOXC2	0	0	0	0	1	0	0	0	1	1	1
258	FOXD4L1	0	0	0	0	1	0	0	0	1	1	1
259	FOXD4L5	0	0	0	0	1	0	0	0	1	1	1
260	FOXL1	1	0	0	0	0	0	0	0	1	1	1
261	FOXN3	0	0	0	0	1	0	0	0	1	1	1
262	FRMPD1	1	0	0	0	0	0	0	0	1	1	1
263	FTMT	0	0	0	0	1	0	0	0	1	1	1
264	FXR1	1	0	0	0	0	0	0	0	1	1	1
265	GAA	0	0	0	0	0	1	0	0	1	1	1
266	GABBR2	0	0	0	0	1	0	0	0	1	1	1
267	GABRA2	0	0	0	0	1	0	0	0	1	1	1
268	GABRB1	0	0	0	0	1	0	0	0	1	1	1
269	GBX2	0	0	0	0	1	0	0	0	1	1	1
270	GCNA	0	0	0	0	1	0	0	0	1	1	1
271	GEMIN5	0	0	0	0	1	0	0	0	1	1	1
272	GGT2	0	0	0	0	1	0	0	0	1	1	1
273	GLRA2	0	0	1	0	0	0	0	0	1	1	1
274	GOLGA3	0	0	0	0	1	0	0	0	1	1	1
275	GOLGA6A	0	0	0	0	1	0	0	0	1	1	1
276	GOLIM4	0	0	0	0	1	0	0	0	1	1	1
277	GPAT2	0	0	0	0	1	0	0	0	1	1	1
278	GPR142	0	0	0	0	1	0	0	0	1	1	1
279	GPR32	0	0	0	0	1	0	0	0	1	1	1
280	GPR37L1	0	0	1	0	0	0	0	0	1	1	1
281	GREB1	0	0	0	0	1	0	0	0	1	1	1
282	GRHL2	0	0	0	0	1	0	0	0	1	1	1
283	GRID1	0	0	0	0	1	0	0	0	1	1	1
284	GRIK2	0	0	0	0	1	0	0	0	1	1	1
285	GRM7	0	0	0	0	1	0	0	0	1	1	1
286	GSAP	1	0	0	0	0	0	0	0	1	1	1
287	HCAR1	0	0	0	0	1	0	0	0	1	1	1
288	HCAR3	0	0	0	0	1	0	0	0	1	1	1
289	HDAC9	0	0	0	0	1	0	0	0	1	1	1
290	HDGFL2	0	0	0	0	1	0	0	0	1	1	1
291	HEATR3	0	0	0	0	1	0	0	0	1	1	1
292	HES7	1	0	0	0	0	0	0	0	1	1	1
293	HIRA	0	0	0	0	1	0	0	0	1	1	1
294	HIST1H2AC	1	0	0	0	0	0	0	0	1	1	1
295	HIST1H3I	0	0	0	0	1	0	0	0	1	1	1
296	HIST2H2AB	0	0	0	0	1	0	0	0	1	1	1
297	HLCS	0	0	0	0	1	0	0	0	1	1	1
298	HMCN1	0	0	0	0	1	0	0	0	1	1	1
299	HMGB2	0	0	1	0	0	0	0	0	1	1	1
300	HNRNPA3	0	0	0	0	0	1	0	0	1	1	1
301	HNRNPU	0	0	0	0	1	0	0	0	1	1	1
302	HOXD11	0	0	0	0	1	0	0	0	1	1	1
303	HOXD12	0	0	0	0	1	0	0	0	1	1	1
304	HOXD13	0	0	0	0	1	0	0	0	1	1	1
305	HR	1	0	0	0	0	0	0	0	1	1	1
306	HRNR	0	0	0	0	1	0	0	0	1	1	1
307	HSD17B14	1	0	0	0	0	0	0	0	1	1	1
308	HSPA2	0	0	0	0	1	0	0	0	1	1	1
309	HTRA3	0	0	0	0	1	0	0	0	1	1	1
310	IFNA7	0	0	0	0	1	0	0	0	1	1	1
311	IGFN1	0	0	0	0	1	0	0	0	1	1	1
312	IKZF2	0	0	0	0	1	0	0	0	1	1	1
313	IL20RA	0	0	0	0	0	0	0	1	1	1	1
314	INF2	1	0	0	0	0	0	0	0	1	1	1
315	ING1	0	0	0	0	0	1	0	0	1	1	1
316	INMT	0	0	0	0	1	0	0	0	1	1	1
317	INO80E	0	1	0	0	0	0	0	0	1	1	1
318	INPPL1	0	0	0	0	1	0	0	0	1	1	1
319	INSC	0	0	0	0	0	0	0	1	1	1	1
320	INTS5	0	0	0	0	1	0	0	0	1	1	1
321	IQGAP3	0	0	0	0	1	0	0	0	1	1	1
322	IRS2	0	0	0	0	1	0	0	0	1	1	1
323	ITGB2	0	0	0	0	1	0	0	0	1	1	1
324	IVL	0	0	0	0	1	0	0	0	1	1	1
325	JCAD	0	0	0	0	1	0	0	0	1	1	1
326	KCNMA1	0	0	1	0	0	0	0	0	1	1	1
327	KCNQ1	0	0	0	0	1	0	0	0	1	1	1
328	KDM6B	0	0	0	0	1	0	0	0	1	1	1
329	KEAP1	0	0	0	0	1	0	0	0	1	1	1
330	KIAA1217	0	0	0	0	1	0	0	0	1	1	1
331	KIAA1468	0	0	0	0	1	0	0	0	1	1	1
332	KIF14	0	0	0	0	0	1	0	0	1	1	1
333	KIF25	0	0	0	0	1	0	0	0	1	1	1
334	KLC1	0	0	1	0	0	0	0	0	1	1	1
335	KLHL30	0	0	0	0	0	1	0	0	1	1	1
336	KLHL6	0	0	0	0	1	0	0	0	1	1	1
337	KMT2B	0	0	0	0	1	0	0	0	1	1	1
338	KMT2D	0	0	1	0	0	0	0	0	1	1	1
339	KMT2E	0	0	0	0	1	0	0	0	1	1	1
340	KRT12	0	0	0	0	1	0	0	0	1	1	1
341	KRT4	0	0	0	0	1	0	0	0	1	1	1
342	KRT6B	0	0	0	0	1	0	0	0	1	1	1
343	KRT76	0	0	0	0	1	0	0	0	1	1	1
344	KRTAP11-1	0	0	0	0	0	1	0	0	1	1	1
345	KRTAP9-9	0	0	0	0	1	0	0	0	1	1	1
346	KSR1	0	1	0	0	0	0	0	0	1	1	1
347	LARP1	0	0	0	0	0	0	0	1	1	1	1
348	LATS2	1	0	0	0	0	0	0	0	1	1	1
349	LCMT2	0	0	0	0	1	0	0	0	1	1	1
350	LHCGR	0	0	0	0	1	0	0	0	1	1	1
351	LILRA1	0	0	0	0	1	0	0	0	1	1	1
352	LILRA6	0	0	0	0	1	0	0	0	1	1	1
353	LILRB2	0	0	0	0	1	0	0	0	1	1	1
354	LINGO3	0	0	0	0	1	0	0	0	1	1	1
355	LMAN1	0	1	0	0	0	0	0	0	1	1	1
356	LNX1	0	0	0	0	1	0	0	0	1	1	1
357	LOC100129697	0	0	0	0	1	0	0	0	1	1	1
358	LRCH2	0	0	1	0	0	0	0	0	1	1	1
359	LRP5	0	0	0	0	1	0	0	0	1	1	1
360	LRRC4C	0	0	0	0	0	0	0	1	1	1	1
361	LRRC7	0	0	0	0	1	0	0	0	1	1	1
362	LRRIQ3	0	1	0	0	0	0	0	0	1	1	1
363	LSAMP	0	0	0	0	1	0	0	0	1	1	1
364	LSS	0	0	0	0	1	0	0	0	1	1	1
365	LY75	0	0	0	0	1	0	0	0	1	1	1
366	LYPD1	0	0	0	0	1	0	0	0	1	1	1
367	LYPD3	0	0	1	0	0	0	0	0	1	1	1
368	MAATS1	0	0	0	0	1	0	0	0	1	1	1
369	MAD2L1	0	0	0	0	1	0	0	0	1	1	1
370	MAFK	1	0	0	0	0	0	0	0	1	1	1
371	MAJIN	0	0	0	0	1	0	0	0	1	1	1
372	MAP3K3	0	0	0	0	1	0	0	0	1	1	1
373	MAU2	0	0	0	0	1	0	0	0	1	1	1
374	MBD3	0	0	1	0	0	0	0	0	1	1	1
375	MC1R	0	0	0	0	1	0	0	0	1	1	1
376	MCM8	0	0	0	0	1	0	0	0	1	1	1
377	MECOM	1	0	0	0	0	0	0	0	1	1	1
378	MEGF6	0	0	0	0	1	0	0	0	1	1	1
379	MFN1	0	0	0	0	1	0	0	0	1	1	1
380	MGAM	0	0	0	0	1	0	0	0	1	1	1
381	MIER2	0	0	0	0	0	1	0	0	1	1	1
382	MIOX	0	0	0	0	1	0	0	0	1	1	1
383	MIS18BP1	0	1	0	0	0	0	0	0	1	1	1
384	MISP	0	0	0	0	1	0	0	0	1	1	1
385	MMRN1	0	0	0	0	1	0	0	0	1	1	1
386	MNS1	1	0	0	0	0	0	0	0	1	1	1
387	MOAP1	0	0	0	0	1	0	0	0	1	1	1
388	MPV17	0	0	1	0	0	0	0	0	1	1	1
389	MRPS12	0	0	0	0	1	0	0	0	1	1	1
390	MSTN	0	0	0	0	1	0	0	0	1	1	1
391	MUC20	0	0	0	0	1	0	0	0	1	1	1
392	MUC5B	0	0	0	0	1	0	0	0	1	1	1
393	MUM1	0	0	0	0	1	0	0	0	1	1	1
394	MVP	0	0	0	0	1	0	0	0	1	1	1
395	MYBPC3	0	0	0	0	1	0	0	0	1	1	1
396	MYC	0	0	1	0	0	0	0	0	1	1	1
397	MYH1	0	0	0	0	1	0	0	0	1	1	1
398	MYH7B	0	0	0	0	1	0	0	0	1	1	1
399	MYLK	0	0	0	0	1	0	0	0	1	1	1
400	MYO18B	0	0	0	0	0	1	0	0	1	1	1
401	NABP2	0	0	0	0	1	0	0	0	1	1	1
402	NAV3	0	0	0	0	0	1	0	0	1	1	1
403	NBPF12	0	0	0	0	1	0	0	0	1	1	1
404	NBPF14	0	0	0	0	1	0	0	0	1	1	1
405	NBPF3	0	0	0	0	1	0	0	0	1	1	1
406	NCKAP5L	0	0	0	0	1	0	0	0	1	1	1
407	NECTIN2	0	0	0	0	1	0	0	0	1	1	1
408	NELFCD	0	0	0	0	1	0	0	0	1	1	1
409	NFKB2	0	0	0	0	0	1	0	0	1	1	1
410	NGFR	0	0	0	0	1	0	0	0	1	1	1
411	NKX2-1	0	0	0	0	1	0	0	0	1	1	1
412	NKX2-2	1	0	0	0	0	0	0	0	1	1	1
413	NLRP4	0	0	0	0	1	0	0	0	1	1	1
414	NLRP6	0	0	1	0	0	0	0	0	1	1	1
415	NMD3	0	0	0	0	1	0	0	0	1	1	1
416	NME3	0	0	0	0	1	0	0	0	1	1	1
417	NOL3	0	0	0	0	0	1	0	0	1	1	1
418	NOTCH2NL	0	0	0	0	1	0	0	0	1	1	1
419	NPAP1	0	0	0	0	1	0	0	0	1	1	1
420	NPAS3	0	0	0	0	1	0	0	0	1	1	1
421	NPC1L1	0	0	0	0	1	0	0	0	1	1	1
422	NPEPPS	0	0	0	0	1	0	0	0	1	1	1
423	NPIPB6	0	0	0	0	1	0	0	0	1	1	1
424	NR1H3	0	0	0	0	1	0	0	0	1	1	1
425	NR2F1	0	0	0	0	1	0	0	0	1	1	1
426	NR3C1	0	0	0	0	1	0	0	0	1	1	1
427	NR4A2	0	0	0	0	0	1	0	0	1	1	1
428	NRG3	0	0	0	0	1	0	0	0	1	1	1
429	NRP2	0	0	0	0	1	0	0	0	1	1	1
430	NUTM2B	0	0	0	0	1	0	0	0	1	1	1
431	NXF5	0	0	0	0	1	0	0	0	1	1	1
432	OASL	1	0	0	0	0	0	0	0	1	1	1
433	OBP2B	0	0	0	0	1	0	0	0	1	1	1
434	OBSCN	0	0	0	0	1	0	0	0	1	1	1
435	OBSL1	0	0	0	0	1	0	0	0	1	1	1
436	ODF3	0	0	0	0	1	0	0	0	1	1	1
437	OR10H5	0	0	0	0	1	0	0	0	1	1	1
438	OR11H12	0	0	0	0	1	0	0	0	1	1	1
439	OR2L8	0	0	0	0	1	0	0	0	1	1	1
440	OR2M5	0	0	0	0	1	0	0	0	1	1	1
441	OR51Q1	1	0	0	0	0	0	0	0	1	1	1
442	OR52E8	0	0	0	0	1	0	0	0	1	1	1
443	OR7C1	0	1	0	0	0	0	0	0	1	1	1
444	OR7E24	1	0	0	0	0	0	0	0	1	1	1
445	OR8G2P	0	0	0	0	1	0	0	0	1	1	1
446	OVCH1	0	0	0	0	1	0	0	0	1	1	1
447	P3H2	0	0	0	0	1	0	0	0	1	1	1
448	PABPC1	0	1	0	0	0	0	0	0	1	1	1
449	PARD3B	1	0	0	0	0	0	0	0	1	1	1
450	PAX3	0	0	0	0	1	0	0	0	1	1	1
451	PAX7	0	0	0	0	1	0	0	0	1	1	1
452	PCDHA5	0	0	0	0	1	0	0	0	1	1	1
453	PCDHA6	0	0	0	0	1	0	0	0	1	1	1
454	PCDHGA6	0	0	0	0	1	0	0	0	1	1	1
455	PDE11A	0	0	0	0	1	0	0	0	1	1	1
456	PDE8B	0	0	0	0	1	0	0	0	1	1	1
457	PF4	0	0	0	0	1	0	0	0	1	1	1
458	PFKM	0	0	0	0	1	0	0	0	1	1	1
459	PGRMC2	0	0	0	0	1	0	0	0	1	1	1
460	PHF21A	0	0	0	0	1	0	0	0	1	1	1
461	PHKB	0	0	0	0	1	0	0	0	1	1	1
